Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11,copper,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, nickel,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, platinum,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, palladium,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, gold,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, silver,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00003,"Birch Lake, Maturi, Spruce Road, Tecks Mesaba (Babbit)","""Duluth Complex""",2018-04-11, cobalt,<Null>,<Null>,-91.74,47.784,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16,nickel,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16, copper,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16, cobalt,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16, platinum,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MN00008,Tamarack,"""Tamarack North; Tamarack South""",2018-04-16, palladium,<Null>,<Null>,-93.116,46.685,Yes,No,Yes,Yes,No,Yes,Yes,Yes
